id	name	rarity	description	requirements	effects	end
5115	The Arcane Statutes	-2	In this bastion of magic and order, the local mages have successfully codified several major rituals into provincial law. This stability has made research significantly easier.	magic 5|order 2|land 1	researchaff 32|taxboost 50|incscale Order|1d6vis S	
5116	The Crystal Gavel	2	The absolute power of magic is being used to enforce an unyielding, minor law. The spiritual weight of this 'arcane justice' is crushing the will of the inhabitants, turning them into joyless servants.	magic 5|order 1|land 1	kill 5|unrest -50|incdom -2|incscale Order	
5117	Thaumaturgic Carnival	-2	Total magical saturation has combined with a slight lack of order to create a month-long celebration of wonder. The sheer creative energy has manifested as a surge of diverse magical gems.	magic 5|chaos 2|land 1	2d6vis All|gold 400|incpop 50|incscale Turmoil	
5118	The Warp-Spasm	1	A minor social disturbance has caused a local mage to lose control of the absolute magic in the air. A localized rift has opened, and a horror has emerged to feed on the 'chaotic' aether.	magic 5|chaos 1|land 1	com 308|unrest 40|kill 5|incscale Turmoil	
5119	Enchanted Artifice	-2	The high mana of the province has begun to inhabit the local tools. Hammers strike with magical precision, and the workshops are producing goods that seem to glow with internal light.	magic 5|prod 2|land 1	landprod 20|gold 300|magicitem 2|incscale Prod	
5120	The Iron Backlash	1	The intense magical energy of the province has reacted poorly with the local industry. A series of 'unlucky' explosions has leveled several workshops as the machines tried to absorb too much power.	magic 5|prod 1|land 1	kill 5|gold -500|landprod -10|incscale Prod	
5121	Oneiric Wisdom	-2	The profound stillness of the province has allowed the local mages to enter a state of shared dreaming. They have returned from the aether with secrets of the higher spheres.	magic 5|sloth 2|land 1	research 400|researchaff 10|incscale Sloth|1d6vis S	
5122	The Lethargic Fade	2	The absolute magic in the air has become so heavy and thick that the people have simply stopped moving. Their souls are being slowly absorbed into the background radiance of the province.	magic 5|sloth 1|land 1	kill 10|incdom -4|landgold -15|incscale Sloth	
5123	Solar Distillation	-2	The mild summer heat has been focused by the intense magic of the region. The very sunlight is being distilled into fire rubies by a group of industrious solar-acolytes.	magic 5|heat 2|waste 1	2d6vis F|gold 200|incscale Heat	
5124	The Sun-Stroke Flare	2	The magical resonance of the province has amplified the heat into a lethal frequency. A flash-fire of pure aether has struck the town square, incinerating the populace.	magic 5|heat 1|land 1	kill 20|unrest 50|incscale Heat|lab 0	
5125	Crystalline Glaciation	-2	The crisp winter cold has caused the saturated magic in the air to crystallize. Shards of pure water-magic are being harvested from the eaves of every house.	magic 5|cold 2|mountain 1	2d6vis W|gold 300|incscale Cold	
5126	The Arcane Deep-Freeze	1	The magical saturation has reacted with the winter chill, creating a zone of absolute zero. The very air has frozen solid, shattering the lungs of several unfortunate inhabitants.	magic 5|cold 1|land 1	kill 10|unrest 20|incscale Cold	
5127	The Mana-Bloom	-2	Nature is thriving on the absolute magic of the province. The trees are growing fruit that glows with internal light, and the local herbalists have found a cure for every known malady.	magic 5|growth 2|forest 1	disease -20|incpop 200|3d6vis N|incscale Growth	
5128	The Choking Aether-Vine	1	The explosive growth of the land has begun to feed on the magical laboratory. Sentient, mana-hungry vines are currently strangling the researchers and draining your gems.	magic 5|growth 1|lab 1	kill 2|gemloss All|unrest 30|incscale Growth	
5129	Ancestral Resonance	-2	The weight of death in the province has reached a state of magical harmony. The shades of the ancestors have risen to share their ancient wisdom with your mages.	magic 5|death 2|land 1	researchaff 32|nation -2|com 181|incscale Death	
5130	The Mana-Starved Wraith	2	A powerful spirit has been drawn to the intense magical radiance of the province. It is currently haunting the laboratory, feeding on the life-force of the scholars to sate its arcane hunger.	magic 5|death 1|lab 1	kill 5|researchaff 0|com 181|incscale Death	
5131	The Luminous Trench	-2	In the deep ocean, the absolute magic has caused the thermal vents to glow with a brilliant, intelligent light. Your mermen are gaining profound insights into the nature of the abyss.	magic 5|heat 2|land 0	research 300|2d6vis F|incscale Heat	
5132	The Boiling Reef	2	The magical saturation has superheated the deep currents. A sudden surge of steam has cooked the local kelp forest and the mermen who tended it.	magic 5|heat 1|land 0	kill 25|taxboost -100|incscale Heat	
5133	Rime-Magic Crystallization	-2	The absolute cold of the sea-floor has caused the magic to harden into shards of permanent ice. These gems are being harvested by your mermen to power their enchantments.	magic 5|cold 2|land 0	3d6vis W|gold 200|incscale Cold	
5134	The Frozen Sanctuary	1	The magical saturation has created a localized deep-freeze in the merman capital. Several prominent citizens have been frozen in blocks of 'arcane' ice.	magic 5|cold 1|land 0	kill 5|unrest 15|incscale Cold	
5135	The Echoing Tunnels	-2	In the deep caves, the magic of the rocks has hit a perfect frequency. The miners find that the stones speak to them, guiding them to rich veins of precious metals.	magic 5|prod 2|cave 1	landgold 40|gold 600|incscale Prod	
5136	The Crystal Collapse	2	The intense magical resonance has caused the cave walls to vibrate with destructive force. A series of 'arcane' tremors has buried a major mining operation.	magic 5|prod 1|cave 1	kill 30|gold -800|landprod -20|incscale Prod	
5137	The Fungal Synthesis	-2	The damp stillness of the caves and the high mana have produced a breed of mushroom that secretes liquid magic. Your mages are currently harvesting the glowing sap.	magic 5|sloth 2|cave 1	4d6vis S|researchaff 1|incscale Sloth	
5138	The Spore-Madness	1	The absolute magic in the tunnels has mutated the local fungi. The miners are breathing in magical spores that cause them to see non-existent monsters and attack one another.	magic 5|sloth 1|cave 1	kill 10|unrest 60|incscale Sloth	
5139	The Bioluminescent Swamp	-2	The stagnant wetlands are shimmering with a wild, magical beauty. The very miasma has turned into a source of arcane power, attracting loyal spirits to your banner.	magic 5|growth 2|swamp 1	1d6vis Elemental|nation -2|com 579|incscale Growth	
5140	The Miasmatic Surge	2	The high growth and high magic of the swamp have created a toxic, magical fog. Those who breathe it are transformed into formless abominations that dissolve in the mud.	magic 5|growth 1|swamp 1	kill 15|disease 10|incscale Growth|com 966	
5141	The Bleached Wisdom	-2	In the shimmering waste, the magic has preserved the souls of the long-dead. Your mages have successfully interrogated the bleached remains of an ancient king.	magic 5|death 2|waste 1	research 250|gold 400|incscale Death|magicitem 3	
5142	The Bone-Flare	1	The absolute magic of the waste has reacted with the density of death. A spontaneous explosion of necrotic energy has scoured a local oasis, leaving only ash and bone.	magic 5|death 1|waste 1	kill 5|decscale Growth|unrest 20|incscale Death	
5143	The Harmonic Fortification	-1	The local governor has successfully used the high mana of the province to 'anchor' the fortress walls. The structure now hums with a protective, magical frequency.	magic 5|order 2|fort 1	defence 20|unrest -20|incscale Order	
5144	The Arcane Sabotage	1	In this land of magic and chaos, a rogue apprentice has used the saturated air to trigger a chain reaction in the armory. The resulting 'unlucky' fire was impossible to extinguish.	magic 5|chaos 1|land 1	gold -400|defence -10|unrest 40|incscale Turmoil	
