id	name	rarity	description	requirements	effects	end
4950	The Glacial Bureaucracy	1	The strict laws of the land have combined with a profound lethargy among the clerks. The paperwork required for even the simplest task has ground all trade to a halt.	order 2|sloth 2|land 1	incscale Order|incscale Sloth|taxboost -100|landgold -10	
4951	The Gilded Orthodoxy	1	Magic is strictly regulated and used only to serve the state. Independent research is viewed as a crime, and the air in the laboratories is heavy with the scent of incense and stagnation.	order 2|magic 2|lab 1	incscale Order|incscale Magic|researchaff 33|unrest 20	
4952	The Carrion Anarchy	2	Total lawlessness has led to the neglect of the dead. In the absence of a functioning government, the bodies of the fallen are left to rot in the streets, drawing necrotic spirits.	chaos 2|death 2|land 1	incscale Turmoil|incscale Death|kill 10|disease 5|unrest 50	
4953	The Wild Overrun	1	Explosive growth in a lawless province has turned the city into a jungle. Without crews to clear the vines, the architecture is being strangled by sentient, aggressive weeds.	chaos 2|growth 2|forest 1	incscale Turmoil|incscale Growth|landprod -10|unrest 30|com 931	
4954	The Molten Forge	1	The frantic push for production in this blistering heat has turned the workshops into death traps. The output is high, but the cost in human lives is becoming unbearable.	prod 2|heat 2|mountain 1	incscale Prod|incscale Heat|kill 5|gold 200|landprod 10	
4955	The Eternal Sleep	1	The combination of absolute cold and total apathy has convinced the populace to simply stop moving. People are freezing in their beds, too tired to even light a fire.	sloth 2|cold 2|land 1	incscale Sloth|incscale Cold|kill 10|incdom -2	
4956	The Sparkless Toil	1	In a land where magic has died and production quotas are high, the work is physically soul-crushing. Without the spark of wonder, the workers are becoming hollow husks.	unmagic 2|prod 2|land 1	incscale Drain|incscale Prod|kill 2|unrest 25|disease 5	
4957	The Mute Desolation	2	The absolute absence of magic in this land of death has created a spiritual vacuum. Neither the living nor the dead can find rest in a world so hollow and grey.	unmagic 2|death 2|waste 1	incscale Drain|incscale Death|kill 15|incdom -5|researchaff 0	
4958	The Alchemical Overflow	1	High magic and high production have led to a series of lab accidents. Volatile reagents are being mass-produced with sloppy oversight, leading to localized aetheric fires.	magic 2|prod 2|lab 1	incscale Magic|incscale Prod|unrest 40|gold -300|1d6vis Elemental	
4959	The Scalding Anarchy	2	The total lack of order in these boiling currents has led to a series of steam-explosions. The mermen are fighting over the few remaining cool-water reefs.	chaos 2|heat 2|land 0	incscale Turmoil|incscale Heat|kill 10|unrest 60|fort 0	
4960	The Frozen Tyranny	1	In the deep caves, the law is as cold as the stone. Every infraction is punished by exposure to the frost-vents, and the people have become as brittle as ice.	order 2|cold 2|cave 1	incscale Order|incscale Cold|kill 5|unrest 20|defence 10	
4961	The Fungal Incursion	1	The damp stillness of the caves and the explosive growth of the spores have turned the tunnels into a labyrinth of lethal mushrooms. The miners are being slowly absorbed.	sloth 2|growth 2|cave 1	incscale Sloth|incscale Growth|landprod -20|disease 10	
4962	The Necrotic Steam	2	The heat of the swamp has combined with a high density of death to create a suffocating, necrotic miasma. The living are breathing in the rot of their ancestors.	heat 2|death 2|swamp 1	incscale Heat|incscale Death|kill 10|disease 15|unrest 30	
4963	The Warping Current	2	Wild magic and chaotic currents have turned the reefs into a nightmare of chimeric sea-life. The mermen have lost control of their own environment.	chaos 2|magic 2|land 0	incscale Turmoil|incscale Magic|com 466|4d6units 394|kill 5	
4964	The Silent Tunnels	1	The absence of magic and the profound lethargy of the miners have made the deep caves feel like a tomb. The people have forgotten why they even dig.	unmagic 2|sloth 2|cave 1	incscale Drain|incscale Sloth|landgold -10|researchaff 0	
4965	The Blood-Salt Waste	1	The relentless sun and the weight of death in the waste have turned the sand into a jagged, necrotic crust. Every step is a struggle against the environment.	heat 2|death 2|waste 1	incscale Heat|incscale Death|kill 5|landprod -10|unrest 10	
4966	The Iron Bloom	1	Extreme order and high production have turned the province into a massive, joyless factory. Every hour is accounted for, and the human spirit is being ground into dust.	order 2|prod 2|land 1	incscale Order|incscale Prod|unrest 15|landprod 15|gold 100	
4967	The Overgrown Altar	1	The combination of high growth and high magic has caused the local temple to be consumed by sentient flowers. The priests can no longer reach the altar through the thorns.	growth 2|magic 2|temple 1	incscale Growth|incscale Magic|incdom -4|unrest 10	
4968	The Stagnant Purity	1	Absolute order in the swamp has led to the dredging of every natural pool. While the water is clear, the 'soul' of the wetlands has been killed by the rigid canals.	order 2|death 2|swamp 1	incscale Order|incscale Death|taxboost 50|incdom -2|decscale Growth	
4969	The Arcane Fever	1	The magic in the air is so thick it is inducing a state of frantic, chaotic movement. The people are dancing themselves to death in a frenzy of uncontrolled power.	magic 2|chaos 2|land 1	incscale Magic|incscale Turmoil|kill 5|unrest 80|gainaff 4096	
4970	The Brittle Harvest	1	The cold has set in early, and the frantic push for production has led to the harvest of frozen, useless grain. The warehouses are full of ice instead of food.	cold 2|prod 2|land 1	incscale Cold|incscale Prod|gold -200|taxboost -100	
4971	The Shimmering Mirage	1	The heat of the waste and the high magical saturation have created a permanent hallucination. The people are wandering into the dunes, chasing non-existent cities.	heat 2|magic 2|waste 1	incscale Heat|incscale Magic|kill 10|unrest 20|incdom -2	
4972	The Choking Silt	1	The stillness of the deep waters and the high density of life have led to a massive algal bloom. The mermen are suffocating in the very water that should sustain them.	sloth 2|growth 2|land 0	incscale Sloth|incscale Growth|kill 15|taxboost -50	
4973	The Bone-Clock	1	The absolute order of this land of death means that even the skeletons are given a daily schedule. The grim efficiency is terrifying to the remaining living.	order 2|death 2|land 1	incscale Order|incscale Death|landprod 10|unrest 20|incdom 2	
4974	The Void-Blight	2	A vacuum of magic and high growth have produced a breed of 'hungry' plants that drain the life-force of everything they touch to compensate for the lack of aether.	unmagic 2|growth 2|forest 1	incscale Drain|incscale Growth|kill 10|disease 5|unrest 15	
4975	The Molten Anarchy	2	Total turmoil among the miners has led to the sabotage of the magma-containment wards. The tunnels are now filled with uncontrolled fire and screaming workers.	chaos 2|heat 2|cave 1	incscale Turmoil|incscale Heat|kill 25|fort 0|unrest 100	
4976	The Rime-Locked Forge	1	The absolute cold and high production quotas have caused the metal to become as brittle as glass. Hammers are shattering against the anvils, and the smiths are losing fingers to the frost.	cold 2|prod 2|mountain 1	incscale Cold|incscale Prod|landprod -20|gold -300|kill 2	
4977	The Stagnant Aether	1	The magic in this lazy valley has become heavy and unmoving. Spells take twice as long to cast, and the mages are falling into a permanent, dreamless sleep.	magic 2|sloth 2|lab 1	incscale Magic|incscale Sloth|researchaff 0|unrest 10	
4978	The Salted Rebellion	1	The lack of magic and total social turmoil have convinced the populace that the gods have abandoned them. They are salting the fields and burning the shrines in a fit of nihilistic rage.	unmagic 2|chaos 2|land 1	incscale Drain|incscale Turmoil|kill 10|temple 0|incdom -5	
4979	The Crystal Tomb	1	In the deep caves, the cold and the magic have combined to encase the inhabitants in layers of permanent, glowing ice. The province is a silent museum of frozen lives.	cold 2|magic 2|cave 1	incscale Cold|incscale Magic|kill 5|incdom -2|1d6vis S	
