id	name	rarity	description	requirements	effects	end
4000	Magic Overflowing	-2	Magic is overflowing the boundaries of this realm. The air crystallizes into raw power.	pop0ok 1|magic 4|land 1	4d6vis A	
4001	Arcane Surge	-2	Absolute magic has overwhelmed the realm, leaving behind clusters of pure aether.	pop0ok 1|magic 5|land 1	5d6vis S	
4002	Mythical Beast Slain	-2	A mythical beast of pure mana has been slain. It leaves behind a wealth of magical gems!	magic 4|land 1	2d6vis All	
4003	Astral Behemoth	-2	An astral behemoth has been slain. Its crystalline heart shattered into a staggering amount of gems!	magic 5|land 1	3d6vis All	
4004	Potent Artifact	-1	A potent artifact humming with power was found by local prospectors.	maxunrest 50|magic 4|luck 1	magicitem 3|1d6vis S	
4005	Legendary Discovery	-1	An artifact of legends has been unearthed from a reality rift.	maxunrest 50|magic 5|luck 1	magicitem 4|1d6vis S	
4006	Arcane Vault Found	-1	A magical anomaly unearthed a hidden vault containing artifacts of forgotten power.	magic 4|luck 2|land 1	magicitem 4	
4007	Reality Rift Artifacts	-1	Reality warped, leaving behind artifacts of immense, forgotten power.	magic 5|luck 2|land 1	magicitem 4|magicitem 3	
4008	Pantokrator Armory	-2	Intense magic and incredible fortune revealed the lost armory of a Pantokrator.	magic 4|luck 3|turn 15	magicitem 4|magicitem 3|2d6vis All	
4009	Lost Vault of Archmage	-2	Extreme magic and luck bestowed upon you the lost vault of an Archmage.	magic 5|luck 3|turn 15	gold 4000|magicitem 4|magicitem 4|3d6vis All	
4010	Anti-Magic Hysteria	1	The populace has formed a fanatical mob and burned the lab to purge all magic.	unmagic 4|minpop 50|lab 1	lab 0|unrest 80|kill 5	
4011	Void Collapse	2	The absence of magic caused reality to collapse in the lab, destroying your magical reserves.	unmagic 5|pop0ok 1|lab 1	lab 0|gemloss All|kill 10	
4012	Meteor Strike	2	A massive meteor struck, destroying the province's infrastructure and treasury.	unluck 5|pop0ok 1|land 1	kill 50|gold -5000|fort 0|temple 0|unrest 200	
4013	Rift in Fate	2	A total drain of mystical wards and bad luck allowed a terror to enter this world.	unluck 4|unmagic 3|land 1	unrest 150|com 308|kill 20	
4014	Absolute Desolation	2	An anti-magic singularity and extreme bad luck has left nothing but ruin and madness.	unluck 5|unmagic 3|land 1	kill 75|gold -10000|lab 0|temple 0|fort 0|unrest 300	
4020	Rogue Witch Hunt	2	Driven by superstition, a mob burned your laboratory to purge the local mages.	unmagic 3|unluck 3|land 1|lab 1	lab 0|unrest 40|kill 2	
4021	Anti-Magic Riot	2	A massive anti-magic riot burned your laboratory to the ground and looted all gems.	unmagic 4|unluck 3|land 1|lab 1	lab 0|gemloss All|unrest 60|kill 3	
4022	The Silent Void	2	Magic has drained so completely that magical reserves are evaporating into thin air.	unmagic 5|unluck 3|land 1	lab 0|gemloss All|kill 5	
4023	Failing Wards	2	Ancient wards failed, allowing horrors from the void to feed on the unlucky populace.	unmagic 3|unluck 3|land 1	unrest 80|com 308|kill 10	
4024	Mundane Collapse	2	Magical creatures wither and the populace descends into sheer, unlucky madness.	unmagic 4|unluck 3|land 1	lab 0|gemloss All|unrest 100|kill 15	
4025	Successful Inquisition	-2	Lucky witch hunters burned a coven of rogue witches and gave you their hoard.	unmagic 3|luck 3|land 1	gold 500|magicitem 2|magicitem 2	
4026	Mundane Prosperity	-2	Free from mages, the mundane populace thrived and rooted out a rogue sorcerer for you.	unmagic 4|luck 3|land 1	gold 1000|magicitem 2|1d6vis N	
4027	Grand Witch Hunt	-2	Lucky hunters cornered a powerful cabal. The heretics' vast hoard of artifacts was secured.	unmagic 4|luck 3|land 1	gold 1500|magicitem 3|magicitem 3	
4028	Heretic's Pyre	-2	A lich withered away from lack of magic. Lucky heroes plundered his crypt for you.	unmagic 5|luck 3|land 1	gold 1500|magicitem 3|1d6vis D	
4029	Purge of the Arcane	-2	A magical vault collapsed due to mundane reality. The locals gathered the artifacts for you.	unmagic 5|luck 3|land 1	gold 3000|magicitem 4|magicitem 3|magicitem 3	
4030	Neglected Defenses	2	Guards are sleeping and walls are degrading. Bandits easily sacked the local armory.	lazy 3|unluck 3|land 1	defence -15|unrest 20|gold -200	
4031	Economic Apathy	2	Bureaucratic lethargy has ground trade to a halt. Tax collectors aren't working.	lazy 4|unluck 3|land 1	taxboost -100|landgold -10|landprod -10	
4032	Sloppy Warding	2	Lazy mages allowed a void horror to slip through the province's weakened barriers.	lazy 4|unluck 3|lab 1|land 1	lab 0|com 308|kill 2|unrest 30	
4033	Crumbling Foundations	2	Neglect has caused the local fortress foundations to completely collapse.	lazy 5|unluck 3|fort 1|land 1	fort 0|kill 2|unrest 30	
4034	The Great Lethargy	2	People refuse to work or eat and are dying in their sleep from extreme apathy.	lazy 5|unluck 3|land 1	kill 20|landprod -20|landgold -20|unrest 50	
4035	Accidental Artifact	-2	A lazy farmer unearthed an ancient artifact while napping under an oak tree.	lazy 3|luck 3|land 1	gold 300|magicitem 2|1d6vis E	
4036	Fortuitous Collapse	-2	A wall collapsed because no one maintained it, revealing a long-forgotten treasury!	lazy 4|luck 3|land 1	gold 800|magicitem 3	
4037	Effortless Bounty	-2	Lazy hunters found a beast that died in the square, leaving a hoard of gems for you.	lazy 4|luck 3|land 1	gold 1000|magicitem 3|3d6vis N	
4038	Lucky Mishap	-2	Lazy researchers created an explosion that magically crystallized into astral pearls.	lazy 5|luck 3|lab 1|land 1	3d6vis S|magicitem 3	
4039	Pity of the Gods	-2	A celestial left artifacts out of sheer pity for your province's absolute laziness.	lazy 5|luck 3|land 1	gold 2000|magicitem 4|magicitem 3	
