id	name	rarity	description	requirements	effects	end
4830	The Gilded Accord	-2	A legendary merchant prince has been so impressed by the stability of your realm that he has relocated his entire trade network here. The gold flows like water.	order 1|luck 4|land 1	gold 1500|landgold 40|taxboost 100	
4831	The Aether-Tap	-2	A miraculous alignment of the spheres has opened a permanent conduit of pure magic. The air hums with a power that your mages can draw upon indefinitely.	magic 1|luck 5|lab 1	foundsite 3|3d6vis All|researchaff 5	
4832	The Undying Guard	-2	An ancient hero, preserved through sheer fortune in a hidden barrow, has awoken. Recognizing your divine right, he has pledged his spectral blade to your cause.	death 1|luck 4|land 1	nation -2|com 188|addequip 4|1d6units 195	
4833	The Bloom of Ages	-2	The fertility of this land has reached a mythic peak. A single sapling of a world-tree has sprouted, bringing health and longevity to all who dwell in its shadow.	growth 1|luck 5|forest 1	incpop 500|decscale2 Death|landgold 20|incdom 2	
4834	The Ingenious Workings	-2	A stroke of incredible luck has led local craftsmen to rediscover the secrets of ancient automation. Your workshops now produce goods at an impossible rate.	prod 1|luck 4|land 1	landprod 50|gold 800|magicitem 2	
4835	The Solar Crucible	-2	The mild summer heat has concentrated into a single, lucky point of light. Within this focused glare, fire rubies are forming spontaneously in the sand.	heat 1|luck 5|waste 1	foundsite 2|4d6vis F|gold 500	
4836	The Rime-King's Tribute	-2	A noble of the high frost has emerged from the mountain mists. He brings a ransom in jewels and his own keen scouts to serve the master of such a lucky realm.	cold 1|luck 4|mountain 1	gold 1200|2d6vis W|nation -2|1d6units 141	
4837	The Harmonic Tunnels	-2	The wind in the caves has hit a perfect frequency, vibrating ore veins until they shatter. Mining has never been easier or more profitable.	order 1|luck 4|cave 1	landgold 30|landprod 30|gold 500	
4838	The Luminous Reef	-2	The sea-life in this province has begun to glow with an intelligent, magical light. The reefs are producing pearls of a quality unseen since the First Age.	magic 1|luck 5|land 0	foundsite 2|4d6vis S|gold 1000	
4839	The Sump's Secret Heart	-2	The stagnant waters of the swamp have parted to reveal the moss-covered vault of a lost civilization. Inside lay artifacts of immense power.	sloth 1|luck 4|swamp 1	magicitem 4|magicitem 3|gold 1000	
4840	The Penitent Warlord	-2	A fearsome mercenary leader, previously bent on chaos, has been struck by a vision of your greatness. He has disbanded his raiders and joined you as a loyal champion.	chaos 1|luck 5|land 1	nation -2|com 147|addequip 3|12d6units 139	
4841	The Alchemical Synthesis	-2	A researcher's clumsy mistake in the lab has accidentally resulted in the formula for transmuting lead into gold. The breakthrough is permanent.	magic 1|luck 4|lab 1	landgold 50|gold 500|researchaff 2	
4842	The Great Dredging	-2	A lucky shift in the river's flow has uncovered a massive deposit of silt-covered gold and ancient jewelry. The haul is staggering.	prod 1|luck 4|freshwater 1	gold 2000|landgold 15	
4843	The Healing Rain	-2	A freak weather pattern has brought a shimmering rain that cures all sickness. The population is haler and more numerous than ever before.	growth 1|luck 4|land 1	disease -50|incpop 300|incdom 3	
4844	The Star-Fallen Ore	-2	A meteorite of pure starmetal has landed softly in a local field. It is cool to the touch and hums with magical potential.	magic 1|luck 5|land 1	2d6vis E|2d6vis S|magicitem 4	
4845	The Peaceful Emigration	-2	Distraught by the chaos of neighboring lands, a large group of wealthy artisans has sought sanctuary in your lucky province.	order 1|luck 4|land 1	incpop 200|gold 600|landprod 15	
4846	The Deep-Sea Library	-2	An underwater earthquake has revealed the entrance to a library of the Ancients. Mermen scholars are gaining centuries of wisdom in a single month.	magic 1|luck 5|land 0	researchaff 10|magicitem 3|1d6vis S	
4847	The Whispering Sands	-2	The wind in the waste has begun to whisper the locations of forgotten wells and hidden paths. Navigating the desert is now a trivial matter.	sloth 1|luck 4|waste 1	landgold 20|defence 15|gold 300	
4848	The Crystal Symphony	-2	The magic in the caves has reached a state of perfect resonance. The rock itself is growing gems as if they were flowers in a garden.	magic 1|luck 4|cave 1	4d6vis E|4d6vis S|gold 400	
4849	The Saintly Visitation	-2	A holy figure has appeared in the province, performing miracles and drawing thousands into the true faith.	order 1|luck 5|land 1	incdom 8|unrest -100|nation -2|com 241	
4850	The Vein of the Gods	-2	A lucky miner has struck a vein of gold so thick it defies explanation. The mine will provide for the empire for generations.	prod 1|luck 5|mountain 1	newsite 70|landgold 100|gold 1000	
4851	The Dragon’s Egg	-2	An explorer has returned from the waste with a perfectly preserved dragon egg. It has hatched into a loyal, fire-breathing guardian.	heat 1|luck 5|waste 1	nation -2|com 2534|addequip 1|1d6vis F	
4852	The Fountain of Youth	-2	A traveler has discovered a hidden glade where the water reverses the toll of years. The elders of the province have returned to their prime.	growth 1|luck 5|land 1	foundsite 3|worldage -1|incpop 100	
4853	The Spectral Treasury	-2	A necromancer has safely opened the vault of a long-dead king. The ghosts within have accepted your rule and surrendered their hoard.	death 1|luck 5|land 1	gold 3000|magicitem 4|4d6vis D	
4854	The Clockwork Fortress	-2	A master engineer has been so inspired by the province's industry that he has built a self-defending fortification as a gift.	prod 1|luck 4|land 1	fort 3|defence 20|gold 400	
4855	The Arcane Tide	-2	A surge of magical water from the elemental planes has filled the reefs with vitality. Magical gems are literally washing up on the shore.	magic 1|luck 4|land 0	5d6vis W|1d6vis S|gold 200	
4856	The Honest Arbiters	-2	Corruption has been so thoroughly rooted out that the local courts are now known for a level of justice that borders on the divine.	order 1|luck 4|land 1	taxboost 200|gold 800|unrest -50	
4857	The Desert Oasis Expands	-2	Against all logic, the local oasis has begun to grow, transforming the surrounding waste into a paradise of palm trees and cool water.	growth 1|luck 4|waste 1	landgold 25|decscale Death|incpop 150	
4858	The Gem-Sown Furrows	-2	While plowing the fields, farmers have found that the soil has begun to yield small, perfect diamonds alongside the grain.	magic 1|luck 4|farm 1	3d6vis E|gold 500|landgold 5	
4859	The Celestial Forge	-2	The high luck of the province has drawn the attention of a celestial smith. He has descended to temper a single weapon of world-shaking power for your greatest commander.	magic 1|luck 5|land 1	magicitem 4|addequip 4|gold 300	
