id	name	rarity	description	requirements	effects	end
4710	The Draconian Quotas	1	The governor's insistence on perfect order has led to a series of unlucky clerical errors. To compensate, the laws have been made even more rigid, turning the province into a police state.	order 3|unluck 2|land 1	incscale Order|incscale2 Misfortune|unrest 20|taxboost -50	
4711	The Salted Waste	2	In a desperate attempt to impose order on the shifting dunes, the local garrison has executed several 'chaotic' nomads. The blood has seemingly cursed the land, drawing a heavy shroud of misfortune.	order 4|unluck 2|waste 1	incscale Order|incscale3 Misfortune|kill 10|landprod -10	
4712	Sedition in the Ranks	1	The constant turmoil of the province has led to a series of unlucky skirmishes between rival gangs. Order is a memory, and the chaos is beginning to feed on itself.	chaos 3|unluck 2|land 1	incscale Turmoil|incscale2 Misfortune|unrest 40|gold -200	
4713	The Anarch's Fever	2	The lawless nature of the swamp has allowed a virulent, unlucky plague to spread unchecked. The dying no longer care for the gods or the state, only for a violent end.	chaos 4|unluck 2|swamp 1	incscale Turmoil|incscale3 Misfortune|disease 10|kill 5	
4714	The Deep-Sea Mutiny	2	Chaos has gripped the kelp harvesters. An unlucky shift in the currents led to a failed harvest, and now the mermen have turned to a violent, random worship of the void.	chaos 3|unluck 2|land 0	incscale Turmoil|incscale2 Misfortune|unrest 60|incdom -2	
4715	The Breaking Loom	1	The frantic push for production has led to a series of unlucky industrial accidents. The response has been to increase the pace, further fracturing the workers' spirits.	prod 3|unluck 2|land 1	incscale Prod|incscale2 Misfortune|kill 10|landprod -15	
4716	The Dust-Blight	2	In the waste, the constant scouring for resources has stripped the protective crust of the earth. An unlucky wind has turned the province into a choking dust-bowl of industry and misery.	prod 4|unluck 2|waste 1	incscale Prod|incscale3 Misfortune|disease 5|landgold -10	
4717	The Collapsed Arteries	2	In the deep caves, high quotas have led to sloppy shoring. An unlucky tremor has collapsed the secondary tunnels, and the survivors are forced to work double shifts in the dark.	prod 3|unluck 2|cave 1	incscale Prod|incscale2 Misfortune|kill 20|gold -300	
4718	The Sleeping Plague	1	Lethargy has become a physical weight in this valley. An unlucky sequence of minor tragedies has convinced the populace that effort is futile, leading to total economic paralysis.	sloth 3|unluck 2|land 1	incscale Sloth|incscale2 Misfortune|landprod -20|landgold -10	
4719	Stagnant Despair	2	The swamp has become so still that even the flies have stopped buzzing. An unlucky malaise has settled over the villagers, who now simply watch the water rise in silence.	sloth 4|unluck 2|swamp 1	incscale Sloth|incscale3 Misfortune|unrest 10|incdom -3	
4720	The Sun-Stroke Riots	1	The heat is unbearable, and an unlucky shortage of water has ignited the populace's anger. The sun-warped survivors are now burning the very granaries they need.	heat 3|unluck 2|land 1	incscale Heat|incscale2 Misfortune|unrest 50|kill 5	
4721	Molten Fissure	2	The heat in the caves has reached a point where the rock is weeping. An unlucky shift in the magma chambers has flooded the lower shafts, and the tunnels are filling with toxic air.	heat 4|unluck 2|cave 1	incscale Heat|incscale3 Misfortune|kill 15|disease 5	
4722	The Scalding Deep	2	An unlucky convergence of thermal vents has turned this sea into a boiling pot. The kelp is turning to mush, and the mermen are fleeing the unbearable warmth.	heat 3|unluck 2|land 0	incscale Heat|incscale2 Misfortune|taxboost -100|kill 5	
4723	The Shaking Frost	1	The cold has become a hungry predator. Every unlucky attempt to keep the fires burning leads to a localized conflagration, leaving the survivors to freeze in the ash.	cold 3|unluck 2|land 1	incscale Cold|incscale2 Misfortune|kill 15|unrest 20	
4724	The Ice-Burying	2	In the waste, an unlucky blizzard has lasted for weeks. The dunes are covered in a permanent sheet of ice, and the bones of the travelers are being preserved for a darker age.	cold 4|unluck 2|waste 1	incscale Cold|incscale3 Misfortune|landprod -30|landgold -15	
4725	The Frozen Tunnels	2	The cold in the caves is so intense that the very air is turning to frost. An unlucky collapse has sealed the main entrance, and the miners are huddling together in a cold, silent death.	cold 3|unluck 2|cave 1	incscale Cold|incscale2 Misfortune|kill 10|gold -200	
4726	The Parasitic Bloom	1	Life is growing with an unlucky, aggressive speed. The crops are huge, but they are hollow shells filled with parasitic wasps that now prey on the farmers.	growth 3|unluck 2|land 1	incscale Growth|incscale2 Misfortune|disease 15|kill 5	
4727	The Choking Mire	2	In the swamp, the vines have grown into a solid wall. An unlucky surge of quick-growth has claimed the paths, and the villagers are being strangled in their sleep by sentient creepers.	growth 4|unluck 2|swamp 1	incscale Growth|incscale3 Misfortune|landprod -20|unrest 30	
4728	The Algal Suffocation	2	The reefs are being overrun by a toxic, unlucky growth of red algae. The sea-life is dying in the oxygen-starved water, and the mermen priests are weeping at the loss.	growth 3|unluck 2|land 0	incscale Growth|incscale2 Misfortune|kill 10|incdom -2	
4729	The Wasting Sickness	1	A dry wind of death is blowing through the valley. Every unlucky birth is a tragedy, and the elders are withering into dust before they can pass on their names.	death 3|unluck 2|land 1	incscale Death|incscale2 Misfortune|kill 20|incpop -20	
4730	The Bone-Tide	2	In the waste, the dead are becoming as common as the sand. An unlucky alignment of the stars has caused the bleached remains of the fallen to rise and wander aimlessly.	death 4|unluck 2|waste 1	incscale Death|incscale3 Misfortune|unrest 40|com 188	
4731	The Silt-Grave	2	The mud of the swamp has become a slurry of bone and decay. An unlucky tremor has released a pocket of necrotic gas, and the living are being pulled down into the stagnant dark.	death 3|unluck 2|swamp 1	incscale Death|incscale2 Misfortune|kill 15|disease 10	
4732	The Arcane Fever	1	The magic in the air is shimmering with an unlucky, jagged edge. Researchers are developing bleeding eyes as they try to read their scrolls in the flickering aether.	magic 3|unluck 2|land 1	incscale Magic|incscale2 Misfortune|researchaff 524288|unrest 20	
4733	The Warping Fog	2	A bank of wild magic has rolled into the swamp. An unlucky discharge of power has turned the local lizards into multi-eyed horrors that now hunt the confused populace.	magic 4|unluck 2|swamp 1	incscale Magic|incscale3 Misfortune|com 466|4d6units 466|kill 10	
4734	The Echoing Void	2	In the deep caves, the high magic of the crystals has begun to echo with an unlucky, dissonant sound. The miners are being driven mad by the 'music' of the earth.	magic 3|unluck 2|cave 1	incscale Magic|incscale2 Misfortune|gainaff 4194304|unrest 40	
4735	The Heavy Silence	1	A fog of unmagic has settled over the province. Every attempt to call upon the gods ends in an unlucky silence, and the people are losing their faith in a world that feels so hollow.	unmagic 3|unluck 2|land 1	incscale Drain|incscale2 Misfortune|incdom -3|researchaff 4194304	
4736	The Sparkless Waste	2	The desert has become a void of wonder. An unlucky sandstorm has buried the last of the ancient shrines, and the survivors find their memories of magic fading like a mirage.	unmagic 4|unluck 2|waste 1	incscale Drain|incscale3 Misfortune|landgold -10|researchaff 0	
4737	The Mute Deeps	2	The ocean currents have grown silent and sparkless. An unlucky shift in the reefs has killed the bioluminescence, leaving the mermen in a state of absolute, spiritual dark.	unmagic 3|unluck 2|land 0	incscale Drain|incscale2 Misfortune|unrest 30|incdom -4	
4738	The Taxman’s Scourge	1	A streak of bad luck in the local economy has been met with a draconian tax decree. The law is now enforced by the whip, and the people are beginning to whisper of rebellion.	order 3|unluck 2|land 1	incscale Order|incscale2 Misfortune|taxboost -80|unrest 40	
4739	The Shattered Garrison	1	A series of unlucky accidents has decimated the local militia. In the ensuing chaos, the few remaining soldiers have turned to banditry, leaving the law to rot.	chaos 3|unluck 2|land 1	incscale Turmoil|incscale2 Misfortune|defence -15|gold -300	
4740	The Quota of Death	1	The drive for production has pushed the workers into an unlucky, fatal exhaustion. The machinery is slick with blood, and the overseers demand more to meet the gods' demands.	prod 3|unluck 2|land 1	incscale Prod|incscale2 Misfortune|kill 30|unrest 30	
4741	The Great Lethargy	1	The apathy of the province has reached a terminal velocity. An unlucky trend of mass-suicides has struck the local villages, as the people simply lose the will to breathe.	sloth 3|unluck 2|land 1	incscale Sloth|incscale2 Misfortune|kill 20|landprod -30	
4742	The Scorching Wind	1	A dry, unlucky heatwave is blowing from the waste. Every attempt to irrigate the land ends in a burst pipe or a dried well, and the crops are turning to ash.	heat 3|unluck 2|land 1	incscale Heat|incscale2 Misfortune|landprod -40|kill 5	
4743	The Cracking Foundations	1	The cold has reached the heart of the stone. An unlucky series of tremors has caused the local fortress to crack from top to bottom, leaving the garrison exposed.	cold 3|unluck 2|fort 1	incscale Cold|incscale2 Misfortune|fort 0|defence -10	
4744	The Fungal Explosion	1	Nature is expanding with an unlucky, sickening speed. Fungal spores have filled the air, turning every minor wound into a garden of necrotic mushrooms.	growth 3|unluck 2|land 1	incscale Growth|incscale2 Misfortune|disease 20|kill 10	
4745	The Rotting Heart	1	The weight of death is pulling the living into the grave. An unlucky failure of the city sewers has flooded the streets with a slurry of cemetery soil and disease.	death 3|unluck 2|land 1	incscale Death|incscale2 Misfortune|kill 50|disease 10	
4746	The Mana-Burn Crisis	1	The saturation of magic has become toxic. Every unlucky word spoken by a mage causes a localized ripple of wild power, shredding the lab and the sanity of those within.	magic 3|unluck 2|lab 1	incscale Magic|incscale2 Misfortune|lab 0|researchaff 4194304	
4747	The Mental Void	1	The absence of magic is now a physical pain. Every unlucky thought is immediately forgotten, and the populace is beginning to regress into a state of primitive, mindless fear.	unmagic 3|unluck 2|land 1	incscale Drain|incscale2 Misfortune|researchaff 0|researchaff 0	
4748	The Thieving Mist	2	An unlucky, cold mist has rolled in from the sea. In the confusion, a group of shadowy figures has ransacked the armory and disappeared back into the waves.	cold 3|unluck 2|coast 1	incscale Cold|incscale2 Misfortune|gold -400|defence -10	
4749	The Molten Sump	2	An unlucky pocket of magma has erupted in the center of the local swamp. The steam is lethal, and the marsh is becoming a wasteland of boiled mud and sulfur.	heat 3|unluck 2|swamp 1	incscale Heat|incscale2 Misfortune|kill 25|unrest 40	
