id	name	rarity	description	requirements	effects	end
4890	The Cindered Ossuary	2	The relentless sun has combined with the heavy stench of death to create a spontaneous conflagration. The very bones in the local graveyards have ignited, releasing a cloud of necrotic soot that chokes the living.	heat 5|death 3|waste 1	kill 30|disease 10|incscale2 Death|unrest 40	
4891	The Living Mana-Jungle	-2	In this region of explosive growth and saturated magic, the very vines have begun to hum with aetheric power. Beings of living light have emerged from the deep green to defend the province.	growth 5|magic 3|swamp 1	nation -2|com 394|10d6units 361|4d6vis N	
4892	The Great Stagnation	2	The absolute lethargy of the populace has combined with a vacuum of magic. The people have forgotten the use of tools and even the names of their children, regressing into a state of primitive silence.	sloth 5|unmagic 3|land 1	landprod -50|landgold -30|researchaff 0|incdom -5	
4893	The Clockwork Hive	-2	Absolute order and a frantic drive for production have turned the province into a single, massive machine. Efficiency is perfect, and a master engineer has arrived to oversee the gears.	order 5|prod 3|cave 1	landprod 50|gold 500|nation -2|com 1073|4d6units 532	
4894	The Maelstrom of Mutability	2	Total anarchy and high magical saturation have caused reality to become a suggestion. The survivors are warping into chimeric forms, and a wild magic tornado is currently scouring the province.	chaos 5|magic 3|land 1	kill 20|unrest 150|com 466|4d6units 466|incscale2 Magic	
4895	The Rime-Locked Spirits	1	The absolute zero of the mountain peaks has frozen the very souls of the dead. They cannot pass on, and instead haunt the frozen tunnels as crystalline specters, envious of any warmth.	cold 5|death 3|mountain 1	com 181|12d6units 676|kill 5|unrest 40	
4896	The Verdant Insurrection	1	Explosive growth in a lawless province has led to the forest literally invading the city walls. The people are being driven out by aggressive vegetation that seems to respond to the local turmoil.	growth 5|chaos 3|forest 1	kill 10|unrest 100|landprod -20|com 931	
4897	The Eternal Tax	-1	In this land of unyielding law and heavy death, even the spirits are required to pay their dues. A specialized class of ghost-bureaucrats has stabilized the economy.	order 5|death 3|land 1	landgold 30|taxboost 100|incdom 2	
4898	The Dreaming Scholars	-2	The absolute stillness of the tunnels has allowed the local mages to enter a state of permanent, productive meditation. Their spirits wander the aether, returning with deep wisdom.	sloth 5|magic 3|cave 1	research 500|researchaff 10|3d6vis S	
4899	The Boiling Anarchy	2	Extreme heat and a total lack of order have caused the local thermal vents to erupt. The lawless mermen are being boiled in their own palaces as the currents turn to steam.	heat 5|chaos 3|land 0	kill 40|fort 0|unrest 120|taxboost -100	
4900	The Sparkless Toil	1	Total magic drain and high industrial quotas have made work physically soul-crushing. Without the spark of wonder, the workers are becoming mindless automatons of flesh and bone.	unmagic 5|prod 3|land 1	kill 10|disease 5|landprod -15|unrest 30	
4901	The Glass Prophet	-1	The scorching sun of the waste has melted the sand into a single, jagged mirror. A prophet has emerged from the glare, claiming the light has granted him a vision of your ascension.	heat 5|order 3|waste 1	nation -2|com 1536|incdom 4|1d6vis F	
4902	The Fungal Autocracy	-1	In the damp, orderly caves, the fungal blooms have been meticulously cultivated. The resulting harvest is so bountiful that the province has become the empire’s primary granary.	growth 5|order 3|cave 1	landprod 40|landgold 20|decscale Death	
4903	The Spectral Armada	-2	The absolute density of death in the chaotic currents has allowed a pirate king to rise from the depths. Finding your lack of laws to his liking, he has pledged his ghost-ships to your cause.	death 5|chaos 3|land 0	nation -2|com 1054|12d6units 676|gold 400	
4904	The Silent Inquisitors	-2	In a land where magic is forbidden and the law is absolute, an elite order of mages-hunters has formed. They offer their disciplined, magic-resistant blades to your service.	unmagic 5|order 5|land 1	nation -2|com 222|10d6units 217|gainaff 0	
