id	name	rarity	description	requirements	effects	end
4750	The Merchants' Accord	-1	The stability of the province has attracted an international guild of honest traders. Their fair dealings have bolstered the treasury and further solidified the local laws.	order 3|luck 2|land 1	incscale Order|incscale Luck|gold 300|unrest -20	
4751	The Imperial Mandate	-2	In this bastion of law, the local courts have reached a state of perfect impartiality. Corruption has been entirely purged, and the wealthy have made massive donations to the state.	order 4|luck 2|land 1	incscale Order|incscale Luck|gold 450|taxboost 50	
4752	The Golden Sovereignty	-2	The absolute order of this province has become legendary. A high justicar has arrived to pledge his sword, bringing the wealth of his office and a retinue of loyalists.	order 5|luck 2|land 1	incscale Luck|gold 600|nation -2|com 241|12d6units 2359	
4753	Subterranean Statutes	-1	In the deep caves, a system of mirrors and couriers has made the enforcement of law instant and just. This stability has led to a surge in precious metal extraction.	order 3|luck 2|cave 1	incscale Order|incscale Luck|gold 400|landgold 10	
4754	The Marshman’s Pact	-1	Through luck and order, the disparate tribes of the swamp have signed a lasting treaty. The previously dangerous wetlands are now a safe and profitable trade route.	order 3|luck 2|swamp 1	incscale Order|incscale Luck|gold 300|taxboost 20	
4755	The Efficient Kiln	-1	A streak of good luck has led to a breakthrough in fuel efficiency. The provincial workshops are producing far more than anticipated, filling the stores with gear.	prod 3|luck 2|land 1	incscale Prod|incscale Luck|gold 200|landprod 10	
4756	Industrial Synchronicity	-2	The workshops of the province are working in perfect harmony. Production has outpaced all expectations, and the excess goods have been sold for a tidy profit.	prod 4|luck 2|land 1	incscale Prod|incscale Luck|gold 300|landprod 20	
4757	The Clockwork Triumph	-2	The pinnacle of industry has been reached. A master artificer has gifted the province a self-maintaining machine that oversees the workshops, freeing the men for war.	prod 5|luck 2|land 1	incscale Luck|gold 400|landprod 40|magicitem 2	
4758	Tectonic Industry	-1	In the deep caves, the miners have found a way to use the natural resonance of the rock to shatter ore veins. The yield has been uncommonly rich.	prod 3|luck 2|cave 1	incscale Prod|incscale Luck|gold 350|landprod 15	
4759	Abyssal Salvage	-1	Favorable currents and lucky timing have allowed your mermen to recover a massive haul of raw materials from a fleet that vanished decades ago.	prod 3|luck 2|land 0	incscale Prod|incscale Luck|gold 500|landprod 10	
4760	The Vitality Surge	-1	The air is sweet and the water is pure. The people are thriving with such vigor that every village has grown into a bustling town overnight.	growth 3|luck 2|land 1	incscale Growth|incscale Luck|incpop 100|taxboost 50	
4761	The Fountain of Health	-2	A natural spring has begun to flow with uncommonly pure water. Sickness is a memory, and the population has swelled with healthy, optimistic youths.	growth 4|luck 2|land 1	incscale Growth|incscale Luck|incpop 200|disease -10	
4762	Gaia’s Bountiful Grace	-2	The fertility of the land has reached a divine level. Nature gems sprout from the soil like weeds, and a spirit of the wild has emerged to guard the flourishing orchards.	growth 5|luck 2|land 1	incscale Luck|3d6vis N|nation -2|com 237|incdom 2	
4763	The Emerald Mire	-1	The swamp has bloomed with a rare, medicinal moss. The increased trade in healing herbs has brought a wave of prosperity to the previously stagnant wetlands.	growth 3|luck 2|swamp 1	incscale Growth|incscale Luck|gold 300|incpop 50	
4764	The Oasis of Life	-1	Against all odds, a massive underground aquifer has burst forth in the waste, turning the shimmering dunes into a lush garden of life.	growth 3|luck 2|waste 1	incscale Growth|incscale Luck|gold 400|decscale Death	
4765	Ley-Line Convergence	-1	The local mages have discovered a lucky alignment of the aether. Spells feel easier to weave, and the air is thick with the scent of ozone and potential.	magic 3|luck 2|land 1	incscale Magic|incscale Luck|2d6vis Elemental|researchaff 1	
4766	The Arcane Resonator	-2	A magical breakthrough has allowed your mages to tune the local environment to the higher spheres. Research is progressing at a staggering pace.	magic 4|luck 2|lab 1	incscale Magic|incscale Luck|3d6vis Elemental|researchaff 3	
4767	The Celestial Bridge	-2	The saturation of magic has thinned the veil to the heavens. A being of pure light has descended to offer its wisdom to your researchers.	magic 5|luck 2|land 1	incscale Luck|4d6vis All|nation -2|com 651|researchaff 5	
4768	Crystal Harmonics	-1	The crystals in the cave walls have begun to hum in time with the mages' prayers. The resonance has crystallized the ambient magic into pure astral pearls.	magic 3|luck 2|cave 1	incscale Magic|incscale Luck|2d6vis S	
4769	Bioluminescent Tide	-1	The deep reefs are glowing with an intelligent, magical light. Mermen scholars are gaining profound insights simply by observing the pulsing of the coral.	magic 3|luck 2|land 0	incscale Magic|incscale Luck|1d6vis W|researchaff 2	
4770	The Solar Focus	-1	The sun lingers over the fields, but instead of a scorching heat, it brings a perfect, focused warmth that has doubled the sugar content of the harvest.	heat 3|luck 2|land 1	incscale Heat|incscale Luck|gold 200|landprod 10	
4771	Molten Refinement	-2	The extreme heat of the waste has been harnessed by lucky inventors to refine ore with incredible purity. The resulting steel is of legendary quality.	heat 4|luck 2|waste 1	incscale Heat|incscale Luck|gold 400|magicitem 2	
4772	The Sun-King’s Favor	-2	A Firelord has been impressed by the blinding radiance of your province. He has sent his personal guard to ensure the flame never dies.	heat 5|luck 2|land 1	incscale Luck|nation -2|com 818|10d6units 528	
4773	Thermal Prosperity	-1	The vents on the ocean floor are pulsing with a steady, lucky heat. The mermen have used this warmth to establish a series of highly productive deep-sea forges.	heat 3|luck 2|land 0	incscale Heat|incscale Luck|gold 300|landprod 15	
4774	Steam-Driven Progress	-1	In the humid swamp, the high heat and luck have allowed for the construction of primitive but effective steam-pumps, draining the muck to reveal rich soil.	heat 3|luck 2|swamp 1	incscale Heat|incscale Luck|landprod 20|decscale Death	
4775	The Rime-Preserve	-1	The steady, crisp cold has perfectly preserved the year's surplus. There is enough grain in the warehouses to feed the entire nation through ten winters.	cold 3|luck 2|land 1	incscale Cold|incscale Luck|gold 200|taxboost 100	
4776	Crystal-Frost Mining	-2	The cold has reached a point where the very water in the rocks has crystallized, pushing rare gems to the surface of the mountain.	cold 4|luck 2|mountain 1	incscale Cold|incscale Luck|2d6vis W|2d6vis E	
4777	The Ice Prince’s Alliance	-2	An Ice Prince from the high peaks has recognized the frozen majesty of your realm. He has pledged his eternal frost to your standard.	cold 5|luck 2|land 1	incscale Luck|nation -2|com 844|10d6units 1202	
