id	name	rarity	description	requirements	effects	end
4920	The Corrupt Bailiff	1	A minor lack of oversight has allowed the local bailiff to start accepting bribes. Honest citizens are being harassed, and the first flickers of resentment are turning into public unrest.	chaos 1|order 1|land 1	incscale Turmoil|incscale Misfortune|gold -50|unrest 10	
4921	Hedge Wizard’s Folly	1	In this land where the law is loose and magic is present, an unlicensed hedge wizard has accidentally turned a local well into a font of bitter salt. The resulting shortage has sparked a minor riot.	chaos 1|magic 1|land 1	incscale Turmoil|incscale Misfortune|unrest 20|1d3vis S	
4922	The Scrapper’s Skirmish	1	The independent spirit of the local workshops has led to a dispute over raw materials. Without a strong law to intervene, the smiths have taken to settling their differences with hammers.	chaos 1|prod 1|land 1	incscale Turmoil|incscale Misfortune|landprod -5|gold -100	
4923	Drunken Garrison	1	The slight lack of discipline has led to the provincial guards spending more time in the taverns than on the walls. In their stupor, they 'lost' a small portion of the armory to local thieves.	chaos 1|sloth 1|land 1	incscale Turmoil|incscale Misfortune|defence -5|gold -150	
4924	Waste-Bandit Gathering	1	In the shimmering heat of the waste, the lack of a strong garrison has encouraged a small group of nomads to begin raiding passing caravans.	chaos 2|unluck 1|waste 1	incscale Turmoil|incscale Misfortune|landgold -5|unrest 15	
4925	Cave-Mining Feud	1	Two prominent mining families in the deep tunnels are feuding over a newly discovered vein. The lack of an official arbiter has led to a series of unlucky 'accidents' in the lower shafts.	chaos 2|order 1|cave 1	incscale Turmoil|incscale Misfortune|kill 5|landprod -10	
4926	Pirate Parley	1	The chaotic currents of the coast have become a favored meeting spot for small-time buccaneers. Their rowdy presence is unsettling the local fishermen and hampering trade.	chaos 1|unluck 1|land 0	incscale Turmoil|incscale Misfortune|landgold -10|unrest 20	
4927	The Poacher’s Toll	1	In the damp, lawless wetlands, poaching has become rampant. The disruption of the ecosystem has led to a minor outbreak of swamp-fever among the desperate villagers.	chaos 1|growth 1|swamp 1	incscale Turmoil|incscale Misfortune|disease 5|incscale Death	
4928	Desecrated Way-Shrine	1	A small group of rowdy travelers has defaced a local shrine. The lack of immediate punishment has emboldened others to ignore the holy sites of the realm.	chaos 2|magic 1|land 1	incscale Turmoil|incscale Misfortune|incdom -2|unrest 10	
4929	Neglected Barrows	1	The slight turmoil in the province has led to the neglect of the ancient graveyards. An unlucky alignment has allowed a few restless shades to wander into the village streets.	chaos 2|death 1|land 1	incscale Turmoil|incscale Misfortune|unrest 15|com 190	
4930	The Smuggler's Den	1	The loose enforcement of laws has allowed a group of smugglers to establish a permanent den in a nearby sea-cave. They are skimming from the local taxes.	chaos 1|order 1|coast 1	incscale Turmoil|incscale Misfortune|taxboost -40|landgold -5	
4931	Molten Instability	1	In the deep caves, the heat from the forges is being managed poorly. A minor, unlucky gas leak has caused a localized explosion, stirring the anger of the miners.	chaos 1|heat 1|cave 1	incscale Turmoil|incscale Misfortune|kill 2|unrest 20	
4932	The Bitter Frost-Riot	1	The cold has set in, and the lack of organized fuel distribution has led to a minor uprising. The people are burning the local administrative building just to stay warm.	chaos 1|cold 1|land 1	incscale Turmoil|incscale Misfortune|unrest 30|lab 0	
4933	Wild Growth Encroachment	1	Without an organized effort to clear the paths, the aggressive growth of the swamp is beginning to swallow the outlying farmsteads. The people feel abandoned by the state.	chaos 1|growth 1|swamp 1	incscale Turmoil|incscale Misfortune|landprod -5|unrest 10	
4934	The Rogue Tax-Collector	1	A man claiming to be your official has been collecting 'emergency funds' from the populace. The lack of oversight meant it took months to realize he was a fraud.	chaos 2|order 1|land 1	incscale Turmoil|incscale Misfortune|gold -200|unrest 25	
4935	Arcane Vandalism	1	A group of students at the local lab has been using wild magic to prank the townspeople. The 'unlucky' transformations have turned the populace against the mages.	chaos 2|magic 1|lab 1	incscale Turmoil|incscale Misfortune|unrest 40|gainaff 4096	
4936	The Tainted Well	1	In the lawless environment of the waste, a minor skirmish ended with a corpse in the primary well. The resulting sickness has been blamed on your 'cursed' administration.	chaos 2|unluck 1|waste 1	incscale Turmoil|incscale Misfortune|disease 10|kill 5	
4937	Deep-Sea Squabbles	1	A dispute between two merman clans over territory has turned violent. The lack of a clear law from the 'surface god' has led to a minor civil war among the reefs.	chaos 1|order 1|land 0	incscale Turmoil|incscale Misfortune|unrest 50|incdom -2	
4938	The Looted Repository	1	The apathy of the local monks has allowed a band of thieves to raid the provincial archives. Several minor relics and a small amount of gold were taken.	chaos 1|sloth 1|land 1	incscale Turmoil|incscale Misfortune|gold -100|magicitem 1	
4939	The Shattered Clock	1	A series of minor industrial accidents has convinced the local craftsmen that the stars are against them. They have stopped work to perform 'unlucky' superstitious rituals instead.	chaos 2|prod 1|land 1	incscale Turmoil|incscale Misfortune|landprod -10|unrest 15	
4940	The Shifting Silt	1	In the swamp, the lack of maintained dykes has led to a minor flood. A few unlucky homes were swept away, and the people are beginning to whisper of your incompetence.	chaos 1|order 1|swamp 1	incscale Turmoil|incscale Misfortune|kill 3|unrest 20	
4941	The Echoing Unrest	1	A rumor of a monster in the deep caves has been allowed to spread unchecked. The resulting panic has led to a minor strike among the mining crews.	chaos 1|magic 1|cave 1	incscale Turmoil|incscale Misfortune|unrest 25|landprod -5	
