id	name	rarity	description	requirements	effects	end
4800	The Great Inquisitorial Purge	2	In this orderly land, a minor disagreement over dogma has spiraled into a nightmare. Under a shroud of absolute misfortune, the local courts have ordered the execution of nearly every citizen to ensure 'purity.'	order 1|unluck 5|land 1	kill 80|gold -3000|unrest 300|incscale2 Order|temple 0	
4801	The Hell-Rift Manifests	2	The minor social unrest in the province has acted as a beacon for the infernal. A permanent tear in reality has opened in the town square, allowing a Doom Horror to step through and claim the 'lawless' souls.	chaos 1|unluck 5|land 1	kill 50|unrest 200|com 2213|incscale2 Turmoil|lab 0	
4802	The Industrial Inferno	2	A single spark in a small workshop has led to a chain reaction of impossible, unlucky explosions. The entire provincial infrastructure has been leveled by a fire that seems to burn with a spiteful intelligence.	prod 1|unluck 5|land 1	kill 40|gold -5000|landprod -50|fort 0|lab 0	
4803	The Grey Sleep	2	The slight lethargy of the populace has curdled into a terminal condition. People have simply stopped waking up, their souls seemingly evaporated by an absolute, unlucky malaise that has settled over the valley.	sloth 1|unluck 5|land 1	kill 75|landgold -50|incscale3 Sloth|incdom -5	
4804	The Solar Lens	2	The mild summer heat has been focused by an unlucky atmospheric anomaly. The province is being scoured by a beam of pure solar energy that turns stone to glass and flesh to ash.	heat 1|unluck 5|waste 1	kill 90|landprod -100|incscale2 Heat|fort 0|temple 0	
4805	The Absolute Zero	2	The winter chill has deepened into a vacuum of heat. In a streak of impossible misfortune, the very air has frozen solid, shattering the lungs of the inhabitants and causing buildings to disintegrate like glass.	cold 1|unluck 5|land 1	kill 85|gold -4000|incscale2 Cold|lab 0|fort 0	
4806	The Cancerous Sprawl	2	The natural growth of the land has turned predatory. Under the weight of absolute misfortune, the trees have begun to sprout teeth and the vines have developed a taste for human blood. The province is being eaten.	growth 1|unluck 5|forest 1	kill 60|unrest 150|incscale2 Growth|com 931|4d6units 362	
4807	The Soul-Abyss	2	The local graveyard has become a literal sinkhole for reality. In a terrifying display of bad luck, the ground has opened up, and the living are being pulled down into a silent, necrotic void.	death 1|unluck 5|swamp 1	kill 95|temple 0|incscale3 Death|com 181	
4808	Planar Unraveling	2	The small amount of magic in the air has become a poison. Every spoken word causes the physical laws of the province to fray, leading to a localized collapse of space and time.	magic 1|unluck 5|land 1	kill 50|lab 0|gainaff 4194304|incscale2 Magic|com 308	
4809	The Entropy Vacuum	2	In this land where magic is scarce, a vacuum of 'nothingness' has formed. It is not merely the absence of wonder, but an active, unlucky force that is erasing the memories and bodies of the populace.	unmagic 1|unluck 5|land 1	kill 70|researchaff 0|incscale2 Drain|gold -2000	
4810	The Drowning Decree	2	A minor shift in the underwater statutes has led to a catastrophic series of unlucky executions. The mermen have turned on one another, and the reefs are choked with the dead.	order 2|unluck 5|land 0	kill 60|taxboost -200|unrest 200|incscale2 Order	
4811	The Maelstrom of Madness	2	The slight turmoil of the deep currents has attracted a horror from the void. In a streak of absolute misfortune, the mermen have gone mad, destroying their own palaces in a frenzy of random violence.	chaos 2|unluck 5|land 0	kill 50|fort 0|com 2213|incscale2 Turmoil|incdom -8	
4812	The Crushing Deep	2	A series of unlucky tremors has caused the ocean floor to buckle. The pressure has increased to impossible levels, crushing every structure and squeezing the life from the inhabitants.	prod 2|unluck 5|land 0	kill 90|gold -5000|landprod -50|lab 0	
4813	The Stagnant Grave	2	The stillness of the deep waters has become a trap. An unlucky convergence of rot has turned the sea into a lightless, airless tomb where the living simply wither away.	sloth 2|unluck 5|land 0	kill 70|incscale3 Sloth|disease 20|temple 0	
4814	The Boiling Reef	2	The mild warmth of the thermal vents has erupted into an unlucky volcanic surge. The water is literally boiling, and the province has become a graveyard of cooked coral and mermen.	heat 2|unluck 5|land 0	kill 80|incscale2 Heat|gold -3000|taxboost -100	
4815	The Glacial Entombment	2	The cold currents have shifted with impossible misfortune. The entire sea province has frozen into a single, solid block of ice, entombing the population for eternity.	cold 2|unluck 5|land 0	kill 95|incscale2 Cold|fort 0|temple 0	
4816	The Toxic Bloom	2	A minor surge of growth in the kelp forests has produced a lethal, unlucky neurotoxin. The sea-life is dying in a beautiful, glowing carpet of poison.	growth 2|unluck 5|land 0	kill 60|disease 30|incscale2 Growth|incdom -4	
4817	The Ghost-Current	2	The presence of death in the deeps has reached a critical mass. An unlucky alignment has turned the ocean currents into a swirling vortex of ghosts that feed on the life-force of the living.	death 2|unluck 5|land 0	kill 75|incscale3 Death|com 181|4d6units 676	
4818	The Warp-Tide	2	The mild magic of the reefs has become a mutating force. In a streak of terrible luck, the mermen have been transformed into formless abominations that dissolve in their own laboratories.	magic 2|unluck 5|land 0	kill 50|lab 0|com 966|4d6units 966|incscale2 Magic	
4819	The Sparkless Deep	2	The vacuum of magic has reached a point where the bioluminescence of the deep has died. In the absolute, unlucky dark, the mermen have lost the will to survive, their civilization simply vanishing.	unmagic 2|unluck 5|land 0	kill 80|incscale2 Drain|researchaff 0|incdom -6	
4820	The Tectonic Grinder	2	In the orderly tunnels of the deep caves, a minor shoring error has triggered a catastrophic, unlucky sequence of collapses. The mountain is literally grinding the province into dust.	order 1|unluck 5|cave 1	kill 90|gold -10000|fort 0|landprod -50	
4821	The Dweller Awakes	2	The chaos of the miners has disturbed something that should have remained hidden. Under a shroud of misfortune, an ancient, burrowing horror has emerged to turn the tunnels into a slaughterhouse.	chaos 1|unluck 5|cave 1	kill 60|com 2526|10d6units 2524|incscale2 Turmoil|lab 0	
4822	The Magma Flood	2	A small resource shaft has tapped into a vein of liquid fire. In a streak of absolute misfortune, the magma has flooded the entire cave system, leaving nothing but scorched bone.	prod 1|unluck 5|cave 1	kill 85|gold -5000|incscale2 Heat|fort 0|temple 0	
4823	The Silent Suffocation	2	The apathy of the miners has led to the failure of the air-shafts. In a lightless, unlucky silence, the population has slowly suffocated in their sleep.	sloth 1|unluck 5|cave 1	kill 80|incscale3 Sloth|unrest 100|incdom -5	
4824	The Glass-Dust Plague	2	The heat of the deep forge-fires has combined with a streak of bad luck to create a lethal dust. The lungs of the miners are turning to glass, and the province is a gallery of coughing statues.	heat 1|unluck 5|cave 1	kill 70|disease 20|incscale2 Heat|gold -2000	
