id	name	rarity	description	requirements	effects	end
5085	The Rime Citadel	-2	The absolute zero of the province has been harnessed by ancient frost-smiths. They have raised a shimmering fortress of permanent ice, swearing fealty to the one who brought the eternal winter.	cold 5|land 1	fort 15|nation -2|com 844|12d6units 1202|incscale Cold	
5086	The Bramble Bastion	-2	Nature has reached a state of aggressive sentience. Vines and iron-wood have woven themselves into a massive, living fortification that guards the province against any who would tread upon the green.	growth 5|land 1	fort 12|nation -2|com 931|10d6units 361|1d6units 362	
5087	The Imperial Architect	-2	A master mason of legendary skill has arrived, drawn by the incredible productivity of your workshops. He offers to oversee the construction of your empire's greatest monuments.	prod 5|land 1	nation -2|com 1606|landprod 30|gold 500	
5088	The High Justicar’s Visitation	-2	The population’s fervor for order has reached a divine peak. A legendary arbiter has arrived to purge all dissent. His presence has ignited a spiritual fire, making your name law across the world.	order 5|land 1	incdom 8|unrest -100|nation -2|com 222|16d6units 149|12d6units 149	
5089	The Ossuary of Service	-2	In this land of absolute death, the ancient dead have recognized a master they can truly obey. A King of the Old World has risen with his silent retinue to serve your standard.	death 5|land 1	nation -2|com 181|6d6units 676|2d6units 195|gold 400	
5090	The Aetheric Plague	2	The saturation of magic has become toxic to the flesh. A shimmering, magical fever has struck the populace, turning their dreams into nightmares and their bodies into warped glass.	magic 5|land 1	kill 30|disease 15|unrest 60|incscale2 Magic	
5091	The Hubris of Fate	2	Fortune has been so kind for so long that the populace has fallen into a state of reckless hubris. A massive, unlucky series of gambling debts and scandals has bankrupted the provincial government.	luck 5|land 1	gold -2000|unrest 100|taxboost -100|incscale2 Misfortune	
5092	The Void-Bastion	-2	In the absolute silence of the unmagic zone, the people have developed a chilling mental resilience. A group of void-shielded warriors has formed to defend this bastion of mundane reality.	unmagic 5|land 1	nation -2|com 2324|12d6units 2324|gainaff 0|defence 20	
5093	The Ever-Burning Kiln	-2	The extreme heat has been focused into a permanent, magical furnace. Your smiths can now forge artifacts with the strength of the sun itself.	heat 5|land 1	newsite 36|2d6vis F|gold 300|magicitem 3	
5094	The Jester’s Fortune	-2	In a stroke of impossible irony, the absolute misfortune of the province has attracted a divine fool. He has 'accidentally' discovered a treasure vault while fleeing from a localized disaster.	unluck 5|land 1	gold 1500|magicitem 4|incscale Luck	
5095	The Frozen Treasury	-1	The crisp, clean cold has perfectly preserved the local wealth. An audit has revealed that several previous governors had hidden gold in the permafrost, which has now been recovered.	cold 4|land 1	gold 800|landgold 15	
5096	The Sun-Stroke Madness	1	The heat in the waste has reached a point where people are seeing non-existent armies. In their sun-warped panic, they have begun destroying their own water supplies.	heat 4|waste 1	kill 5|unrest 40|landprod -10	
5097	The Clockwork Mason	-1	A skilled engineer has arrived with a squad of mechanical constructs. He offers to reinforce your walls in exchange for access to your highly productive workshops.	prod 4|land 1	nation -2|com 1606|6d6units 532|defence 15	
5098	The Mirror-Madness	1	The density of magic has turned every reflective surface into a window to the void. People are being driven mad by the sight of their own spirits being pulled into the glass.	magic 4|land 1	gainaff 4194304|unrest 30|kill 2	
5099	The Stifling Bureaucracy	1	The perfect order of the state has become a parasite. Every merchant is required to file their taxes in triplicate using blood-ink, grinding the provincial economy to a stuttering halt.	order 4|land 1	taxboost -100|landgold -15|unrest -20	
5100	The Rime-Smith’s Boon	-1	A master of the high frost has emerged from the caves. He offers to temper your garrison’s blades in the absolute zero of the deep tunnels.	cold 5|cave 1	magicitem 2|defence 10|2d6vis W	
5101	The Fungal Catocracy	1	The explosive growth in the tunnels has birthed a breed of sentient, aggressive mushrooms. They are currently hunting the miners and clogging the air-shafts.	growth 5|cave 1	kill 10|disease 5|com 1005|4d6units 313	
5102	The Master of the Abyss	-2	The pressure of the deep sea has birthed a hero of coral and iron. He has pledged his monstrous strength to the master of the lightless deeps.	land 0|magic 5	nation -2|com 438|addequip 1|1d6vis S	
5103	The Spectral Armada	-2	The weight of death in the chaotic currents has allowed a pirate king to rise. Finding your realm to his liking, he has brought his ghost-ships to serve you.	land 0|death 5	nation -2|com 1054|12d6units 676|gold 400	
5104	The Silent Sanctum	-2	In the absolute silence of the deep reefs, your mermen have found a way to shield their minds from all magic. They offer their services as elite guardians.	land 0|unmagic 5	nation -2|com 1059|10d6units 1069|gainaff 0	
5105	The Mason of the Mountain	-1	A master mason has appeared in the highlands, claiming the high quality of your ore has inspired him to build a castle of mythic proportions.	prod 5|mountain 1	fort 3|nation -2|com 1606|gold 200	
5106	The Saint of the Sword	-2	In this bastion of law, a holy warrior has been blessed by the spheres. He has risen from the common militia to lead your armies in a crusade of order.	order 5|luck 3	nation -2|com 241|addequip 2|6d6units 2359|incdom 5	
5107	The Solar Backlash	2	The absolute heat of the waste has ignited the very aether. A solar flare has struck the province, incinerating the laboratory and those within.	heat 5|magic 3|waste 1	kill 25|lab 0|1d6vis F|unrest 40	
5108	The Glacial feedback	2	The cold has reached a state of magical feedback. The very air is freezing into jagged shards that fall like rain, shredding the populace.	cold 5|unluck 3|land 1	kill 40|incscale2 Cold|gold -500	
5109	The Verdant Insurrection	1	Life is growing too fast in this lawless land. The trees have begun to hunt the tax-collectors, and the city walls are being cracked by sentient roots.	growth 5|chaos 3|forest 1	kill 5|unrest 80|com 931|12d6units 361	
5110	The Bone-Clock	-1	In this land of death and order, the skeletal workers have been given a rigid schedule. The efficiency of the dead has bolstered the local production.	death 5|order 3|land 1	landprod 20|landgold 10|incdom 2	
5111	The Alchemical Overflow	-2	High magic and high production have resulted in a lab accident that turned the provincial river into liquid gold for a single night.	magic 5|prod 5|freshwater 1	gold 2000|1d6vis All	
5112	The Silent Inquisitors	-2	In a land where magic is purged and law is absolute, an elite order of silent monks has formed to hunt mages.	unmagic 5|order 5|land 1	nation -2|com 222|10d6units 2324|gainaff 0	
5113	The Sun-King’s Revenant	-1	The scorching sun has bleached the bones of a long-dead hero. Through a surge of magic, he has risen to lead his phantom army once more.	heat 5|magic 3|waste 1	com 533|6d6units 615|A600 617|unrest 40	
5114	The Harbinger of Ruin	2	Absolute misfortune has drawn a Doom Horror from the void. It has arrived to feed on the absolute despair of the province.	unluck 5|none 0|land 1	com 2213|kill 60|gold -5000|temple 0|lab 0	
