id	name	rarity	description	requirements	effects	end
5115	The Arcane Statutes	-2	The code of law in this province has been aligned with the arcane spheres. codifying several major rituals into provincial law. This stability has attracted a legendary Lore Master to your court.	magic 5|order 2|land 1	nation -2|com 478|taxboost 50|incscale Order|1d6vis S	
5116	The Crystal Gavel	2	The absolute power of magic is being used to enforce unyielding law. The spiritual weight is crushing the scholars' minds, leaving senior researchers permanently mute.	magic 5|order 1|land 1	kill 5|researchaff 4194304|incdom -2|incscale Order	
5121	Oneiric Wisdom	-2	The profound stillness of the province has allowed the local mages to enter a state of shared dreaming. A reclusive Mystic has emerged from the aether to share these secrets.	magic 5|sloth 2|land 1	nation -2|com 311|incscale Sloth|1d6vis S	
5122	The Lethargic Fade	2	The absolute magic in the air has become so heavy and thick that the people have simply stopped moving. The mages' minds are dissolving, leaving them witless and feeble.	magic 5|sloth 1|land 1	kill 10|researchaff 33554432|landgold -15|incscale Sloth	
5130	The Mana-Starved Wraith	2	A powerful spirit has been drawn to the intense magical radiance. It is currently haunting the laboratory, feeding on the intellect of your scholars.	magic 5|death 1|lab 1	kill 5|researchaff 33554432|com 181|incscale Death	
5131	The Luminous Trench	-2	In the deep ocean, the absolute magic has caused the thermal vents to glow with an intelligent light. A Master Merman Mage has arrived to study the phenomenon.	magic 5|heat 2|land 0	land 0|nation -2|com 103|2d6vis F|incscale Heat	
5141	The Bleached Wisdom	-2	In the shimmering waste, the magic has preserved the souls of the long-dead. A spectral Sage has risen from the sand, offering Chilling insights to the master of this land.	magic 5|death 2|waste 1	nation -2|com 329|gold 400|incscale Death|magicitem 3	
5146	The Inquisition’s Hearth	2	The lack of magic has birthed a fanatical fear of the unusual. A mob has burned the local library and beaten the researchers into a state of witless terror.	unmagic 5|order 1|land 1	lab 0|researchaff 33554432|unrest 40|incscale Order	
5149	The Materialist Logic	-2	Free from the distractions of magic, the local craftsmen have focused entirely on mechanical engineering. A reclusive Master Artificer has arrived to oversee your iron-works.	unmagic 4|prod 2|mountain 1	nation -2|com 1073|landprod 30|incscale Prod	
5151	The Heavy Silence	1	A wave of profound lethargy has hit the province. Without the flicker of magic to excite the mind, the local scholars have fallen into a deep, feeble sleep.	unmagic 4|sloth 2|land 1	landgold -15|researchaff 33554432|incscale Sloth	
5152	The Mental Void	2	The vacuum of magic has reached a point where the people are beginning to forget how to speak. The researchers sit in the lab in a state of absolute, mindless apathy.	unmagic 5|sloth 1|land 1	kill 20|researchaff 33554432|researchaff 33554432|incscale Sloth	
5156	The Brittle Mind	1	The combination of unmagic and extreme cold has made the researchers as fragile as ice. Every minor setback in the lab leads to a total mental collapse.	unmagic 4|cold 1|land 1	kill 10|researchaff 33554432|incscale Cold	
5157	The Sturdy Peasantry	-2	In this land where magic does not reach, the people have grown uncommonly robust and self-reliant. A group of hale young villagers and their leader have joined the militia.	unmagic 5|growth 2|land 1	incpop 200|defence 15|nation -2|com 1565|12d6units 1565|incscale Growth	
5160	The Wasting Hysteria	2	A series of natural deaths has been blamed on 'invisible mages.' The unmagic-saturated populace has gone into a frenzy, leaving the local researchers witless and broken.	unmagic 4|death 1|land 1	kill 15|researchaff 33554432|unrest 60|incscale Death	
5161	The Mute Deeps	-2	The ocean currents have grown silent and sparkless. A disciplined Merman Commander has organized the local reefs into a highly coordinated defensive network.	unmagic 5|order 2|land 0	land 0|nation -2|com 1519|defence 20|incscale Order	
5164	The Lethargic Current	1	The mermen in this unmagic zone have become uncommonly sluggish. Without the pulse of the reefs, the scholars have lost their edge and fallen into a stupor.	unmagic 5|sloth 1|land 0	taxboost -80|researchaff 33554432|incscale Sloth	
5166	The Hollow Echo	1	The miners in the unmagic tunnels are being driven mad by the silence. The mages are suffering similarly, their minds breaking in the spiritual vacuum.	unmagic 5|sloth 1|cave 1	kill 5|researchaff 33554432|landprod -20|incscale Sloth	
5169	The Void-Shielded Monks	-2	The total lack of magic has forced the local monks to rely on pure physical discipline. A Master of the Silent Way has arrived to offer his magic-resistant service.	unmagic 5|order 2|land 1	nation -2|com 2324|10d6units 2324|incscale Order|gainaff 0	
5171	The Ignorant Riot	1	A minor social turmoil has combined with the heavy unmagic of the region. A mob has gathered to lynch the local scholars and burn their books, leaving the survivors feeble.	unmagic 4|chaos 1|land 1	kill 5|researchaff 33554432|unrest 40|incscale Turmoil	
5174	The Frozen Void	2	Absolute cold and absolute unmagic have turned the mountain province into a place where life cannot exist. The minds of your scholars have frozen solid.	unmagic 5|cold 2|mountain 1	kill 50|researchaff 33554432|incscale Cold	
