id	name	rarity	description	requirements	effects	end
5175	The Honest Prefecture	-1	The law in this province is respected by all. The local prefecture has become a model of efficiency, returning a significant surplus to the national treasury.	order 4|land 1	gold 500|taxboost 100|unrest -20	
5176	Inquisitorial Crusade	-2	The province has reached a state of fanatical devotion to your law. A legendary High Inquisitor has arrived to lead a purge of all dissent, making your word absolute.	order 5|land 1	incdom 8|unrest -100|nation -2|com 222|16d6units 149|12d6units 2359	
5177	The Draconian Purge	2	Absolute order has turned into absolute tyranny. The local courts are executing people for the slightest infraction, and the streets are silent with terror.	order 5|land 1	kill 20|taxboost -200|unrest -100|incdom -5	
5178	The Free-Thinker’s Boom	-1	In this land of minimal law, individual enterprise is thriving. A group of wealthy merchants has donated to the crown to ensure their continued freedom.	chaos 4|land 1	gold 600|landgold 15|incscale Luck	
5179	The Anarch’s Coronation	2	Chaos has reached a tipping point. A ruthless warlord has united the local gangs into a private army and declared the province independent.	chaos 5|land 1	revolt 1|com 147|16d6units 139|6d6units 140|unrest 200	
5180	The Master of Masonry	-1	A reclusive master mason has been drawn to the incredible output of your workshops. He offers to reinforce your fortifications.	prod 4|land 1	nation -2|com 1606|defence 15|gold 200	
5181	The Imperial Architect	-2	The pinnacle of industry has been reached. A legendary architect has arrived to oversee the construction of a monument that will be the envy of the world.	prod 5|land 1	nation -2|com 1606|fort 3|landprod 30|gold 500	
5182	Industrial Blight	2	The frantic push for production has poisoned the soil. The air is a thick, grey soot that is killing the workers and the elderly.	prod 5|land 1	kill 15|disease 10|landprod -20|gold -500	
5183	Oneiric Insight	-1	The profound stillness of the province has allowed the local mages to touch the aether in their sleep. They have returned with deep wisdom.	sloth 4|land 1	gainresearch 300|1d6vis S	
5184	The Grey Sleep	2	Apathy has become a terminal disease. The people have simply stopped eating or waking up, their souls evaporating into a sparkless void.	sloth 5|land 1	kill 50|incdom -5|researchaff 33554432	
5185	Crystalline Solar-Focus	-1	The summer heat has hit a perfect frequency, causing the sand to crystallize into fire-resonant gems.	heat 4|waste 1	3d6vis F|gold 200	
5186	The Firelord’s Embassy	-2	A Firelord has been impressed by the blinding radiance of your province. He has sent his personal guard to ensure the flame never dies.	heat 5|land 1	nation -2|com 818|10d6units 528|incdom 3	
5187	The Eternal Pantry	-1	The steady, crisp cold has perfectly preserved the local harvest. An audit has found enough grain to feed the army for years.	cold 4|land 1	gold 400|taxboost 100|unrest -10	
5188	The Rime Citadel	-2	The absolute zero of the frost has been harnessed. Ancient frost-smiths have raised a shimmering fortress of permanent ice in your name.	cold 5|land 1	fort 15|nation -2|com 844|12d6units 1202|2d6vis W	
5189	The Thistle Fever	1	Life is growing with an aggressive, sickening speed. Every minor wound is becoming a garden of parasitic, non-magical mushrooms.	growth 4|land 1	disease 15|kill 5|unrest 20	
5190	The Bramble Bastion	-2	Nature has reached a state of aggressive sentience. Vines and iron-wood have woven themselves into a massive, living fortification.	growth 5|land 1	fort 12|nation -2|com 931|10d6units 361|1d6units 362	
5191	The Ancestral Guard	-1	Death is not feared here, but embraced. The spirits of the ancestors have risen to maintain the shrines and guard the living.	death 4|land 1	nation -2|com 181|6d6units 676|incdom 2	
5192	The Soul-Wasting Wind	2	The absolute weight of death has created a necrotic vacuum. A dry wind is blowing from the graveyards, erasing the memories of the living.	death 5|land 1	kill 30|researchaff 33554432|incscale2 Death	
5193	Arcane Hysteria	1	The saturation of magic is inducing a state of frantic movement. The people are dancing themselves to death in a frenzy of power.	magic 4|land 1	kill 5|unrest 60|gainaff 4194304	
5194	Planar Fracture	2	The magical saturation has become unstable. A rift has opened, and creatures from the void are pouring through to feed on the mana.	magic 5|land 1	kill 20|com 308|4d6units 88|lab 0	
5195	Mundane Resilience	-1	In this land without magic, the people have developed a sturdy, physical self-reliance. The local militia is uncommonly robust.	unmagic 4|land 1	incpop 100|defence 15|gainaff 0	
5196	The Void-Shielded	-2	The absolute silence of the unmagic zone has granted your soldiers a chilling mental resilience. They can now shrug off spells through sheer will.	unmagic 5|land 1	nation -2|com 2324|12d6units 2324|gainaff 0	
5197	The Iron Prefecture	-2	In this bastion of law, the local garrison has become a machine of perfect coordination. Every citizen is a soldier, and your word is God.	order 5|land 1	defence 30|taxboost 100|incdom 4|1d6vis S	
5198	The Master of Engines	-2	Absolute industry has attracted a master artificer. He has built a self-maintaining clockwork engine to oversee your workshops.	prod 5|land 1	nation -2|com 1073|landprod 50|gold 400	
5199	The Cindered Plains	2	The relentless sun has ignited the very soil. The province has become a wasteland of smoke and bone where nothing can grow.	heat 5|land 1	kill 40|landprod -100|decscale Growth|fort 0	
5200	The Glacial Feedback	2	The cold has reached a state of magical feedback. Shards of frozen air are falling like rain, shredding the populace.	cold 5|land 1	kill 50|gold -1000|taxboost -100|lab 0	
5201	The Lichen Court	-2	The rot of the swamp has birthed a strange, beautiful wisdom. A spectral court has risen from the peat to offer their ancient secrets.	death 5|swamp 1	research 400|nation -2|com 178|4d6units 533	
5202	The Celestial Embassy	-2	High magic has thinned the veil. A being of pure light has descended to offer its guidance to the master of this radiant land.	magic 5|land 1	nation -2|com 651|addequip 4|incdom 3	
5203	The Libertarian Boom	-2	Total anarchy has allowed for a level of creative destruction that has supercharged the local economy. Gold is being found in every gutter.	chaos 5|land 1	gold 2000|landgold 30|incscale Luck	
5204	The Dreamers’ Guild	-2	The profound lethargy of the caves has allowed a group of monks to enter a permanent state of astral projection, serving as your spies.	sloth 5|cave 1	nation -2|com 311|1d6vis S|defence 15	
