id	name	rarity	description	requirements	effects	end
5035	The Tinkerer’s Sabotage	1	In this land of loose laws and emerging industry, rival craftsmen have begun sabotaging one another’s workshops. The lack of a strong governor has turned minor professional jealousy into a string of violent, unlucky fires.	chaos 3|prod 1|land 1	incscale Turmoil|incscale Prod|gold -200|unrest 30|lab 0	
5036	The Greedy Shafts	1	The independent miners in the highlands, emboldened by the lack of oversight, have begun digging dangerous, unauthorized tunnels. A series of collapses has claimed several lives, yet the looting of the earth continues.	chaos 4|prod 2|mountain 1	incscale Turmoil|incscale Prod|kill 10|gold -400|landprod -10	
5037	The Steam-Valve Mutiny	2	The intense drive for production in the deep caves is being managed by a disorganized committee of miners. A minor boiler failure was ignored, leading to a massive steam explosion that has leveled a district.	chaos 5|prod 1|cave 1	incscale Turmoil|incscale Prod|kill 20|gold -800|fort 0	
5038	The Loiterer’s Blockade	1	The breakdown of order has encouraged the lazier citizens to congregate in the trade roads, demanding 'freedom from effort.' Without a militia to move them, commerce has ground to a stuttering halt.	chaos 3|sloth 1|land 1	incscale Turmoil|incscale Sloth|taxboost -50|landgold -10|unrest 20	
5039	The Stagnant Defiance	1	In the lawless wetlands, the villagers have simply stopped maintaining the dykes. They claim that in a world without order, there is no reason to fight the rising water. The swamp is beginning to reclaim the village.	chaos 4|sloth 2|swamp 1	incscale Turmoil|incscale Sloth|landprod -15|unrest 30|disease 5	
5040	The Drifting Malcontent	2	The total apathy of the mermen has combined with a complete lack of law. Palaces are being stripped of their ornaments by looters, and the population is too tired or too lawless to stop them.	chaos 5|sloth 1|land 0	incscale Turmoil|incscale Sloth|gold -500|taxboost -100|incdom -2	
5041	Solar Fervor	1	The summer heat is baking the lawless waste. The nomads have taken the shimmering air as a sign of divine favor for their anarchy, and are currently raiding your border outposts with fanatical glee.	chaos 3|heat 1|waste 1	incscale Turmoil|incscale Heat|kill 5|unrest 40|1d6vis F	
5042	The Shimmering Riot	1	The heat in the valley is making the unmanaged populace aggressive. A minor dispute over a water-well has turned into a bloody uprising that has left the local administrative building in ashes.	chaos 4|heat 2|land 1	incscale Turmoil|incscale Heat|kill 10|unrest 80|gold -300	
5043	The Sulfur Revolt	2	In the deep caves, the heat has become a catalyst for rebellion. The miners have sabotaged the cooling-vents, claiming the 'burning earth' will cleanse the province of your rule.	chaos 5|heat 1|cave 1	incscale Turmoil|incscale Heat|kill 15|unrest 100|fort 0	
5044	The Bitter Frost-Brawl	1	The winter chill has arrived, and the lack of an organized wood-ration has led to neighbors killing one another for fuel. The disorganized garrison is doing more looting than protecting.	chaos 3|cold 1|mountain 1	incscale Turmoil|incscale Cold|kill 5|unrest 30|gold -200	
5045	The Frozen Garrison	1	The cold has set in, and the soldiers in this lawless land have decided that freezing on the walls is not for them. They have abandoned their posts to burn the local granary for warmth.	chaos 4|cold 2|land 1	incscale Turmoil|incscale Cold|defence -15|unrest 60|gold -400	
5046	The Rime-Vessel Mutiny	2	The ocean floor has grown uncomfortably cold. Emboldened by the lack of law, several merman war-bands have seized the local treasure-vaults and fled for warmer waters.	chaos 5|cold 1|land 0	incscale Turmoil|incscale Cold|gold -1000|com 976|6d6units 974	
5047	The Thistle-Snare	1	Without a strong law to enforce the clearing of the woods, the aggressive growth has begun to swallow the roads. Travelers are being ambushed by outlaws hiding in the sentient brambles.	chaos 3|growth 1|forest 1	incscale Turmoil|incscale Growth|unrest 25|landgold -10|com 1313	
5048	The Spawning Chaos	1	The humid swamp is a haven for the lawless and the fecund. A minor lack of oversight has allowed a mutated breed of lizard-men to overpopulate and swarm the local settlements.	chaos 4|growth 2|swamp 1	incscale Turmoil|incscale Growth|kill 10|unrest 50|2d6units 423	
5049	The Green Fever	2	Life is too abundant in this lawless land. A rogue herbalist has convinced the people that the 'Spirit of the Jungle' demands the blood of the civilized. A violent, plant-worshiping cult has formed.	chaos 5|growth 1|land 1	incscale Turmoil|incscale Growth|incdom -5|unrest 150|com 931	
5050	The Unburied Burden	1	The weight of death in the province is being met with total administrative failure. Bodies are piling up in the streets, and the disorganized populace is fleeing the resulting stench and spirits.	chaos 3|death 1|land 1	incscale Turmoil|incscale Death|disease 10|emigration 5|unrest 40	
5051	The Bleached Bone-Scourge	1	In the lawless waste, the dead no longer stay under the sand. Enraged by the lack of proper rites, a small host of skeletal nomads has begun raiding the living.	chaos 4|death 2|waste 1	incscale Turmoil|incscale Death|unrest 60|com 188|4d6units 194	
5052	The Echoing Tomb	2	In the deep tunnels, the silence of death has combined with total anarchy. The miners have uncovered an ancient crypt and, instead of sealing it, have begun using the dead as tools for their rebellion.	chaos 
