id	name	rarity	description	requirements	effects	end
4860	The Free Thinker's Forum	-1	In this land of minimal oversight, a group of scholars has gathered to debate without fear of censorship. Their discourse has yielded unexpected breakthroughs in the arcane arts.	chaos 1|luck 4|land 1	research 150|incscale Luck|incscale Magic	
4861	The Frontier Windfall	-1	A group of independent pioneers has returned from the borderlands with a heavy chest of gold. They have donated a portion to the treasury in exchange for continued autonomy.	chaos 2|luck 4|land 1	gold 400|incscale Luck|landprod 5	
4862	The Anarchist’s Fortune	-2	In the absolute chaos of the province, a group of looters accidentally broke into an ancient, forgotten vault instead of the local bakery. They have pledged the findings to you in exchange for a pardon.	chaos 4|luck 2|land 1	gold 600|magicitem 3|1d6vis Elemental	
4863	The Glorious Carnival	-2	Utter lawlessness has birthed a month-long festival of such intensity that it has drawn travelers from across the world. The sheer joy of the populace has manifested as a surge of pure magic.	chaos 5|luck 5|land 1	incpop 500|4d6vis All|gold 1000|unrest -100	
4864	The Renegade Hero	-1	A legendary warrior, tired of the stifling laws of other empires, has sought refuge in your chaotic lands. He offers his blade to whichever master lets him fight as he pleases.	chaos 2|luck 5|land 1	nation -2|com 2324|addequip 3|1d6units 139	
4865	Subterranean Liberty	-1	The lack of centralized control in the deep caves has allowed individual mining families to pursue their own veins. One family has struck a rich deposit of silver.	chaos 1|luck 4|cave 1	gold 300|landgold 15|incscale Luck	
4866	The Drifting Hoard	-1	Drifting aimlessly in the chaotic currents of the deep, a cache of pearls has washed into a merman settlement. The locals have offered them as tribute to their 'distant' god.	chaos 2|luck 4|land 0	2d6vis S|gold 200|incscale Luck	
4867	The Marsh-Witch’s Favor	-2	A powerful witch living in the lawless wetlands has been impressed by the total lack of order in your realm. She has gifted you one of her pets as a sign of respect.	chaos 4|luck 4|swamp 1	nation -2|com 403|4d6units 403|magicitem 2	
4868	The Waste-Strider Band	-1	A group of desert nomads, thriving in the anarchy of the dunes, has decided to join your cause. They bring knowledge of the shimmering sands and a collection of stolen relics.	chaos 2|luck 4|waste 1	nation -2|com 1565|1d6units 527|magicitem 1	
4869	The Sovereign of Ash	-2	The total anarchy of the waste has allowed a fire-spirit to claim a throne of cinders. Finding your lack of laws appealing, the entity has pledged its burning host to your service.	chaos 5|luck 3|waste 1	nation -2|com 818|addequip 1|10d6units 528	
4870	Sedition in the Streets	1	The slight lack of order has allowed a charismatic rabble-rouser to gain a following. He is currently convincing the populace that your rule is a curse upon their luck.	chaos 1|unluck 4|land 1	unrest 50|incscale2 Turmoil|incdom -2	
4871	The Shattered Garrison	2	In a streak of terrible misfortune, the local militia has mutinied against their officers. The soldiers have turned to banditry, using your own steel against the people.	chaos 2|unluck 4|land 1	defence -20|unrest 100|com 482|12d6units 482	
4872	The Anarch's Plague	2	Absolute lawlessness has turned the provincial capital into a cesspool. An unlucky outbreak of filth-fever is decimating the population, and there are no officials left to stop it.	chaos 4|unluck 2|land 1	kill 30|disease 20|incscale2 Death|unrest 60	
4873	The End of Law	2	Total anarchy and absolute misfortune have culminated in the total collapse of provincial life. A Doom Horror has been drawn to the scent of such pure, unadulterated chaos.	chaos 5|unluck 5|land 1	kill 80|com 2213|fort 0|temple 0|lab 0|gold -5000	
4874	The Mutinous Deep	1	The minor turmoil of the currents has emboldened a group of renegade mermen. They have seized the local armory and are now raiding the pearl-farms.	chaos 1|unluck 4|land 0	gold -300|unrest 40|2com 976|6d6units 974	
4875	The Void-Call of Anarchy	2	In the lawless depths of the sea, an unlucky series of blasphemous rituals has thinned the veil. A horror has emerged to feed on the minds of the mermen.	chaos 4|unluck 4|land 0	kill 40|incdom -5|com 308|4d6units 88	
4876	The Cave-In of Sedition	1	The miners, emboldened by a lack of oversight, have ignored safety protocols in favor of looting private veins. An unlucky tremor has turned the tunnels into a tomb.	chaos 2|unluck 4|cave 1	kill 25|gold -600|landprod -20	
4877	The Shadow-Breach	2	In the absolute anarchy of the deep tunnels, the darkness has gained a hungry intelligence. Shadows are rising to claim the living in a streak of impossible bad luck.	chaos 5|unluck 4|cave 1	kill 50|unrest 150|com 181|12d6units 676	
4878	The Salted Rebellion	1	Nomads in the waste, enraged by a series of unlucky shortages, have risen in a violent revolt. They have salted the few working wells and disappeared back into the dunes.	chaos 2|unluck 4|waste 1	kill 10|unrest 80|landprod -10|decscale Growth	
4879	The Storm of Glass	2	Total lawlessness in the waste has allowed a localized heat-vortex to spiral out of control. The sand has melted into a swirling storm of razor-sharp glass shards.	chaos 4|unluck 5|waste 1	kill 60|unrest 200|disease 10|fort 0	
4880	The Hateful Mob	1	A minor lack of order has combined with a streak of misfortune to turn a peaceful market day into a murderous riot. The people are looking for someone to blame.	chaos 1|unluck 5|land 1	unrest 150|kill 5|gold -200	
4881	The Desecrated Altar	1	In the lawless environment of the swamp, a band of unlucky pilgrims was slaughtered. Their blood has defiled the local temple, weakening your divine presence.	chaos 2|unluck 5|swamp 1	temple 0|incdom -10|unrest 50	
4882	The Chimera Outbreak	2	Chaos among the mages has led to a catastrophic, unlucky failure of containment. A multi-headed abomination has escaped and is currently eating the population.	chaos 4|unluck 4|lab 1	lab 0|kill 20|com 466|4d6units 466	
