id	name	rarity	description	requirements	effects	end
4980	The Scrapper's Sabotage	1	In this land of loose laws and heavy industry, rival workshops have begun sabotaging one another to meet their quotas. The lack of oversight has turned healthy competition into a series of violent accidents.	chaos 1|prod 1|land 1	incscale Turmoil|incscale Prod|unrest 20|gold -100|landprod -5	
4981	The Loiterer's Blockade	1	The slight lack of order has encouraged the lazier citizens to congregate in the streets, blocking the movement of goods. Without a strong militia to move them along, trade has ground to a stuttering halt.	chaos 1|sloth 1|land 1	incscale Turmoil|incscale Sloth|unrest 15|landgold -10|taxboost -30	
4982	Sun-Drunk Riots	1	The summer heat is making the unmanaged populace irritable. A minor dispute at a tavern has expanded into a full-scale brawl that the local guards are too disorganized to contain.	chaos 1|heat 1|land 1	incscale Turmoil|incscale Heat|kill 5|unrest 30	
4983	The Fuel Skirmish	1	The winter chill has arrived, and the lack of a centralized wood-ration has led to neighbors fighting over fuel. Small fires are breaking out as people try to stay warm in the chaos.	chaos 1|cold 1|land 1	incscale Turmoil|incscale Cold|kill 2|unrest 25|lab 0	
4984	The Jungle Slums	1	The explosive growth of the province has outpaced the local government's ability to plan. Shanty-towns are popping up in the encroaching woods, serving as havens for disease and rebellion.	chaos 1|growth 1|forest 1	incscale Turmoil|incscale Growth|disease 10|unrest 20|incdom -2	
4985	The Grave-Robber's Toll	1	The weight of death in the province has attracted those who would profit from the dead. The lack of law has allowed grave-robbing to become a public nuisance, distressing the grieving families.	chaos 1|death 1|land 1	incscale Turmoil|incscale Death|unrest 30|incdom -3	
4986	Hedge-Wizard Anarchy	1	The saturation of magic and a lack of licensing has led to students practicing wild enchantments in the marketplace. Several 'unlucky' transformations have caused a minor panic.	chaos 2|magic 2|land 1	incscale Turmoil|incscale Magic|unrest 40|gainaff 4096	
4987	The Ignorance Pogrom	1	In this land where wonder is dying and the law is loose, the people have begun blaming 'strangers' for their lack of luck. A mob has gathered to burn a local repository of lore.	chaos 1|unmagic 1|land 1	incscale Turmoil|incscale Drain|gold -200|researchaff 0	
4988	Subterranean Sabotage	1	In the deep tunnels, independent mining crews are fighting over air-shafts. The lack of an overseer has led to a series of deliberate cave-ins that have hampered production.	chaos 1|prod 1|cave 1	incscale Turmoil|incscale Prod|kill 10|landprod -15	
4989	The Hollow Deep	1	The miners have become lazy and defiant. Without a strong law to enforce the shifts, they have begun loitering in the dark, whispering of ancient, forbidden things.	chaos 2|sloth 2|cave 1	incscale Turmoil|incscale Sloth|unrest 25|incdom -2	
